JockeyId,LastOff,JockeyNumberOfPriorRaces,JockeyWinPercentage,JockeyTop3Percentage,JockeyAvgRelFinishingPosition
102370,2024-01-13 12:40:00,3.0,0.0,0.3333333333333333,0.8333333333333334
102376,2024-09-08 19:20:00,1.0,0.0,0.0,0.36
102383,2024-09-09 19:15:00,2.0,0.0,0.5,0.3822314049586777
102395,2023-12-29 15:04:00,3.0,0.0,0.0,0.5572649572649572
102396,2024-09-08 20:30:00,1.0,0.0,1.0,0.12
102398,2024-10-24 13:40:00,3.0,0.3333333333333333,0.6666666666666666,0.1810344827586207
102399,2024-04-13 14:40:00,5.0,0.4,0.6,0.5019047619047619
102401,2024-03-16 15:40:00,4.0,0.0,0.25,0.6467618778280544
102402,2024-01-13 18:00:00,5.0,0.0,0.0,0.8757575757575757
102405,2024-10-22 17:03:00,2.0,0.0,0.5,0.1551111111111111
102424,2024-06-17 14:18:00,6.0,0.0,0.0,0.8035256410256411
102432,2024-01-19 13:00:00,1.0,0.0,0.0,0.875
102434,2023-10-27 16:02:00,2.0,0.0,0.0,0.7058823529411764
102436,2024-02-26 15:20:00,1.0,0.0,0.0,1.0
102437,2024-10-23 17:33:00,53.0,0.01886792452830186,0.32075471698113206,0.4957061389724386
102454,2023-11-23 12:20:00,1.0,0.0,0.0,0.6666666666666666
102459,2024-10-17 16:40:00,5.0,0.0,0.2,0.3602318168646769
102460,2024-02-04 13:45:00,1.0,0.0,1.0,0.42857142857142855
102474,2024-10-20 16:25:00,50.0,0.0799999999999999,0.13999999999999993,0.46396187435270986
102475,2024-02-27 16:35:00,3.0,0.0,0.6666666666666666,0.7166666666666667
102476,2024-06-12 18:20:00,3.0,0.0,0.0,0.6982683982683983
102477,2024-10-19 13:30:00,13.0,0.0,0.0,0.5337210907038832
102480,2024-08-25 14:35:00,1.0,0.0,0.0,0.4166666666666667
102499,2024-04-27 17:17:00,2.0,0.0,0.0,0.6785714285714286
102500,2024-10-24 18:45:00,162.0,0.11111111111111106,0.32716049382716045,0.4036466921023559
102515,2024-07-02 18:20:00,3.0,0.0,0.0,0.8571428571428571
102517,2024-10-10 17:35:00,2.0,0.0,0.5,0.014354066985645906
102519,2024-02-18 17:10:00,1.0,0.0,0.0,0.7333333333333333
102526,2024-10-04 14:12:00,11.0,0.09090909090909091,0.2727272727272727,0.18480854729673063
102528,2024-02-24 12:40:00,1.0,0.0,0.0,0.4
102536,2024-10-24 23:23:00,34.0,0.02941176470588235,0.08823529411764705,0.3367820846813159
102539,2024-09-01 23:45:00,1.0,0.0,0.0,0.064
102545,2024-10-21 13:47:00,43.0,0.06976744186046509,0.27906976744186046,0.5510377499858786
102547,2024-05-03 19:30:00,2.0,0.0,0.0,1.0
102573,2024-10-06 19:35:00,18.0,0.0,0.05555555555555555,0.58441791505517
102576,2024-09-16 19:45:00,3.0,0.0,0.0,0.399924924924925
102587,2024-01-26 15:00:00,1.0,0.0,1.0,0.3333333333333333
102596,2024-10-22 17:03:00,1.0,0.0,0.0,0.096
102597,2024-02-09 17:15:00,3.0,0.0,0.0,0.8863636363636364
102598,2024-08-30 17:20:00,6.0,0.0,0.0,0.450849591294403
102601,2024-09-11 22:51:00,6.0,0.0,0.16666666666666666,0.444950371452929
102602,2024-10-25 15:35:00,2.0,0.0,0.5,0.5725806451612904
102603,2024-05-09 16:23:00,3.0,0.0,0.0,0.6800865800865802
102615,2024-10-12 14:40:00,7.0,0.2857142857142857,0.2857142857142857,0.217014987196942
102619,2024-10-20 15:15:00,3.0,0.0,0.0,0.020598823648717148
102623,2024-03-30 23:30:00,1.0,0.0,0.0,0.38461538461538464
102630,2024-06-23 21:53:00,1.0,0.0,0.0,0.9230769230769231
102633,2024-10-16 16:20:00,11.0,0.0,0.18181818181818182,0.5084183620517964
102635,2024-10-19 22:03:00,15.0,0.0,0.19999999999999993,0.5232972582972583
102639,2024-10-15 16:45:00,55.0,0.07272727272727265,0.2545454545454545,0.4406675106287723
102643,2023-11-24 13:50:00,2.0,0.0,0.0,0.6904761904761905
102647,2024-10-21 14:40:00,27.0,0.0,0.03703703703703698,0.42869866006619334
102648,2023-11-17 12:58:00,1.0,0.0,0.0,0.5833333333333334
102653,2023-10-09 17:00:00,2.0,0.0,0.0,0.7777777777777778
102666,2024-10-07 16:50:00,6.0,0.0,0.16666666666666666,0.4687909489966046
102667,2024-10-19 18:13:00,5.0,0.4,0.6,0.4170020120724346
102669,2023-10-11 13:07:00,1.0,0.0,0.0,0.38461538461538464
102670,2023-10-04 17:25:00,1.0,0.0,0.0,0.6
102680,2024-08-31 22:02:00,1.0,0.0,0.0,0.1951219512195122
102683,2023-11-04 22:00:00,1.0,0.0,0.0,1.0
102686,2024-06-02 16:45:00,8.0,0.0,0.37499999999999994,0.7364312770562771
102687,2024-10-19 22:16:00,12.0,0.25,0.4166666666666666,0.28465179005445584
102690,2024-10-19 17:45:00,2.0,0.0,0.5,0.018115942028985504
102705,2024-10-12 16:40:00,12.0,0.08333333333333333,0.16666666666666666,0.2522248508049703
102711,2024-09-10 14:20:00,10.0,0.0,0.1,0.42784598408606245
102713,2024-09-24 13:30:00,1.0,0.0,0.0,0.009681881051175657
