FinishingPosition,Won,FractionalOdds,DecimalOdds,ResultStatus,RaceId,CourseId,CourseName,Off,HorseId,HorseName
2,False,9/4,3.25,CompletedRace,917097,23,Haydock,04/15/2026 13:30:00,5061523,Matty's Getaway right
0,False,4/1,5,PulledUp,917101,23,Haydock,04/15/2026 16:25:00,5708535,Moon Rocket right
8,False,22/1,23,CompletedRace,915461,38,Newmarket,04/15/2026 17:17:00,7801959,Oratorical right
1,True,3/1J,4,CompletedRace,915611,394,Southwell (AW),04/15/2026 18:30:00,6807888,Shipshape right
8,False,13/2,7.5,CompletedRace,915609,394,Southwell (AW),04/15/2026 20:30:00,7970709,Moonlight Mirage right
4,False,7/1,8,CompletedRace,917954,177,Clonmel,04/14/2026 19:12:00,5689548,Kamikaz Du Plessis right
2,False,5/1,6,CompletedRace,915601,393,Lingfield (AW),04/14/2026 16:25:00,6134926,Keep It Cool right
6,False,15/2,8.5,CompletedRace,915606,393,Lingfield (AW),04/14/2026 19:00:00,7852223,Gifts Differing right
6,False,7/1,8,CompletedRace,915327,35,Market Rasen,04/14/2026 13:35:00,4261324,No But I Will right
1,True,11/10J,2.1,CompletedRace,915325,35,Market Rasen,04/14/2026 14:45:00,6671039,Plains Drifter right
2,False,4/5F,1.8,CompletedRace,915328,35,Market Rasen,04/14/2026 16:30:00,4288031,Southoftheborder right
2,False,11/2,6.5,CompletedRace,916861,35,Market Rasen,04/14/2026 17:05:00,5461617,Molto Bene right
1,True,4/1F,5,CompletedRace,915452,38,Newmarket,04/14/2026 15:35:00,5043820,Jakajaro right
0,False,11/4F,3.75,PulledUp,915336,39,Newton Abbot,04/14/2026 15:08:00,7422443,No Panic right
1,True,5/2,3.5,CompletedRace,915333,39,Newton Abbot,04/14/2026 15:42:00,4922359,Irish Chorus right
2,False,EvensF,2,CompletedRace,915335,39,Newton Abbot,04/14/2026 16:17:00,6892516,Dearkeithandkaty right
1,True,9/4,3.25,CompletedRace,915332,39,Newton Abbot,04/14/2026 16:52:00,2969896,Sheldon right
8,False,8/1,9,CompletedRace,915312,18,Fakenham,04/13/2026 14:40:00,7231783,Alan Bresil right
1,True,7/4F,2.75,CompletedRace,915315,18,Fakenham,04/13/2026 15:10:00,4231681,Fortunefavorsdbold right
0,False,6/4,2.5,PulledUp,915316,18,Fakenham,04/13/2026 15:40:00,5864624,Natus Vincere right
1,True,5/4F,2.25,CompletedRace,915314,18,Fakenham,04/13/2026 16:10:00,3632529,Esperti right
2,False,15/8,2.875,CompletedRace,915313,18,Fakenham,04/13/2026 16:40:00,5842799,Sense Of Reason right
4,False,12/1,13,CompletedRace,915319,25,Hexham,04/13/2026 15:00:00,6555398,My My My Delilah right
5,False,7/2,4.5,CompletedRace,915322,25,Hexham,04/13/2026 16:00:00,5295439,Divilabother right
0,False,11/1,12,PulledUp,918040,25,Hexham,04/13/2026 16:30:00,3046809,Eric Carmen right
