RaceId,RaceName,CourseId,CourseName,Off,RaceType,Class,Pattern,RatingBand,AgeBand,SexRestriction,Distance,DistanceInFurlongs,DistanceInMeters,DistanceInYards,Going,Surface,HorseId,HorseName,JockeyId,JockeyName,TrainerId,TrainerName,Age,HeadGear,RaceCardNumber,StallNumber,Weight,WeightInPounds,FractionalOdds,DecimalOdds,OfficialRating,RacingPostRating,TopSpeedRating,ResultStatus,FinishingPosition,BeatenDistance,OverallBeatenDistance,RaceTime,RaceTimeInSeconds
846680,Kingmoor Park Fillies' Restricted Novice Stakes (For horses In Bands C And D) (GBB Race),8,Carlisle,09/01/2023 13:30:00,Other,Class 5,,,2yo,Fillies,6f,6,1206,1320,Good To Firm,Turf,5073236,Havana Rose,94225,Callum Rodriguez,38073,Edward Bethell,2,,2,1,9-2,146,9/4,3.25,,72,32,CompletedRace,1,0,0,00:01:13.8400000,73.84
846680,Kingmoor Park Fillies' Restricted Novice Stakes (For horses In Bands C And D) (GBB Race),8,Carlisle,09/01/2023 13:30:00,Other,Class 5,,,2yo,Fillies,6f,6,1206,1320,Good To Firm,Turf,5216456,Lunar Streets,100379,Ryan Sexton,9036,Ed Dunlop,2,,1,4,9-4,148,9/4,3.25,,76,34,CompletedRace,2,0.75,0.75,00:01:13.9900000,73.99
846680,Kingmoor Park Fillies' Restricted Novice Stakes (For horses In Bands C And D) (GBB Race),8,Carlisle,09/01/2023 13:30:00,Other,Class 5,,,2yo,Fillies,6f,6,1206,1320,Good To Firm,Turf,5218434,Vintage Love,76872,P J McDonald,15158,Grant Tuer,2,,8,8,9-0,144,85/40F,3.125,,66,25,CompletedRace,3,0.5,1.25,00:01:14.0900000,74.09
846680,Kingmoor Park Fillies' Restricted Novice Stakes (For horses In Bands C And D) (GBB Race),8,Carlisle,09/01/2023 13:30:00,Other,Class 5,,,2yo,Fillies,6f,6,1206,1320,Good To Firm,Turf,5186077,Jungle Jean,92884,Phil Dennis,19056,Katie Scott,2,,3,5,9-2,146,11/1,12,,65,24,CompletedRace,4,0.75,2,00:01:14.2400000,74.24
846680,Kingmoor Park Fillies' Restricted Novice Stakes (For horses In Bands C And D) (GBB Race),8,Carlisle,09/01/2023 13:30:00,Other,Class 5,,,2yo,Fillies,6f,6,1206,1320,Good To Firm,Turf,5266408,Allegro Brillante,79371,Paul Mulrennan,7795,Jim Goldie,2,,4,6,9-0,144,200/1,201,,40,,CompletedRace,5,7,9,00:01:15.6400000,75.64
846680,Kingmoor Park Fillies' Restricted Novice Stakes (For horses In Bands C And D) (GBB Race),8,Carlisle,09/01/2023 13:30:00,Other,Class 5,,,2yo,Fillies,6f,6,1206,1320,Good To Firm,Turf,5202350,Flocon,100377,Mark Winn,22839,David O'Meara,2,,5,2,8-11,139,80/1,81,,38,,CompletedRace,6,0.5,9.5,00:01:15.7400000,75.74
846680,Kingmoor Park Fillies' Restricted Novice Stakes (For horses In Bands C And D) (GBB Race),8,Carlisle,09/01/2023 13:30:00,Other,Class 5,,,2yo,Fillies,6f,6,1206,1320,Good To Firm,Turf,5279945,Lincoln's Inn,78223,David Allan,22150,Michael Herrington,2,,7,3,9-0,144,28/1,29,,34,,CompletedRace,7,1.25,10.75,00:01:15.9900000,75.99
846680,Kingmoor Park Fillies' Restricted Novice Stakes (For horses In Bands C And D) (GBB Race),8,Carlisle,09/01/2023 13:30:00,Other,Class 5,,,2yo,Fillies,6f,6,1206,1320,Good To Firm,Turf,4924818,Joons Dream,87290,Sam James,15158,Grant Tuer,2,,6,7,9-0,144,10/1,11,,31,,CompletedRace,8,0.75,11.5,00:01:16.1400000,76.14
846678,Armstrong Watson Handicap (Jockey Club Grassroots Sprint Series Qualifier),8,Carlisle,09/01/2023 14:00:00,Other,Class 5,,0-70,3yo+,None,6f,6,1206,1320,Good To Firm,Turf,5029048,American Affair,79371,Paul Mulrennan,7795,Jim Goldie,3,,6,10,9-9,153,11/2,6.5,67,79,52,CompletedRace,1,0,0,00:01:12.5100000,72.51
846678,Armstrong Watson Handicap (Jockey Club Grassroots Sprint Series Qualifier),8,Carlisle,09/01/2023 14:00:00,Other,Class 5,,0-70,3yo+,None,6f,6,1206,1320,Good To Firm,Turf,3228337,Mighty Power,78398,Barry McHugh,34717,Stella Barclay,5,,5,7,9-9,153,12/1,13,65,74,47,CompletedRace,2,0.75,0.75,00:01:12.6600000,72.66
846678,Armstrong Watson Handicap (Jockey Club Grassroots Sprint Series Qualifier),8,Carlisle,09/01/2023 14:00:00,Other,Class 5,,0-70,3yo+,None,6f,6,1206,1320,Good To Firm,Turf,4425829,Havana Rum,93884,Oisin Orr,8010,Richard Fahey,3,v1,11,12,9-5,149,16/1,17,63,69,41,CompletedRace,3,1,1.75,00:01:12.8600000,72.86
