RaceId,RaceName,CourseId,CourseName,Off,RaceType,Class,Pattern,RatingBand,AgeBand,SexRestriction,Distance,DistanceInFurlongs,DistanceInMeters,DistanceInYards,Going,Surface,HorseId,HorseName,JockeyId,JockeyName,TrainerId,TrainerName,Age,HeadGear,RaceCardNumber,StallNumber,Weight,WeightInPounds,FractionalOdds,DecimalOdds,OfficialRating,RacingPostRating,TopSpeedRating,ResultStatus,FinishingPosition,BeatenDistance,OverallBeatenDistance,RaceTime,RaceTimeInSeconds
820617,Oakman Inns Rous Stakes (Listed Race),2,Ascot,10/01/2022 13:51:00,Other,Class 1,Listed,,3yo+,None,5f,5,1005,1100,Good To Soft,Turf,3593785,Manaccan,80421,Stevie Donohoe,17862,John Ryan,3,t,3,10,9-6,150,4/1J,5,108,113,102,CompletedRace,1,0,0,00:01:02.2400000,62.24
820617,Oakman Inns Rous Stakes (Listed Race),2,Ascot,10/01/2022 13:51:00,Other,Class 1,Listed,,3yo+,None,5f,5,1005,1100,Good To Soft,Turf,2741065,Ainsdale,78398,Barry McHugh,12225,Julie Camacho,5,p,6,6,9-3,147,13/2,7.5,102,106,95,CompletedRace,2,0.75,0.75,00:01:02.4066666,62.4066666
820617,Oakman Inns Rous Stakes (Listed Race),2,Ascot,10/01/2022 13:51:00,Other,Class 1,Listed,,3yo+,None,5f,5,1005,1100,Good To Soft,Turf,3092670,Method,87349,Andrea Atzeni,39560,Freddie & Martyn Meade,4,,10,4,9-3,147,12/1,13,102,106,94,CompletedRace,3,0.05,0.75,00:01:02.4066666,62.4066666
820617,Oakman Inns Rous Stakes (Listed Race),2,Ascot,10/01/2022 13:51:00,Other,Class 1,Listed,,3yo+,None,5f,5,1005,1100,Good To Soft,Turf,2537615,King's Lynn,86013,David Probert,15605,Andrew Balding,5,,1,5,9-10,154,4/1J,5,111,111,99,CompletedRace,4,0.5,1.25,00:01:02.5177777,62.5177777
820617,Oakman Inns Rous Stakes (Listed Race),2,Ascot,10/01/2022 13:51:00,Other,Class 1,Listed,,3yo+,None,5f,5,1005,1100,Good To Soft,Turf,3823964,Annaf,90243,Jason Hart,10363,Michael Appleby,3,,7,3,9-3,147,28/1,29,101,104,92,CompletedRace,5,0.2,1.5,00:01:02.5733333,62.5733333
820617,Oakman Inns Rous Stakes (Listed Race),2,Ascot,10/01/2022 13:51:00,Other,Class 1,Listed,,3yo+,None,5f,5,1005,1100,Good To Soft,Turf,3726914,Designer,96222,Jason Watson,26177,John Butler,3,,11,1,8-12,140,11/1,12,97,99,87,CompletedRace,5,0,1.5,00:01:02.5733333,62.5733333
820617,Oakman Inns Rous Stakes (Listed Race),2,Ascot,10/01/2022 13:51:00,Other,Class 1,Listed,,3yo+,None,5f,5,1005,1100,Good To Soft,Turf,3540201,Korker,94631,Pierre-Louis Jamin,5019,K R Burke,3,,9,7,9-3,147,15/2,8.5,103,100,87,CompletedRace,7,1.25,2.75,00:01:02.8511111,62.8511111
820617,Oakman Inns Rous Stakes (Listed Race),2,Ascot,10/01/2022 13:51:00,Other,Class 1,Listed,,3yo+,None,5f,5,1005,1100,Good To Soft,Turf,1860039,Came From The Dark,82231,Daniel Tudhope,23926,Ed Walker,6,,8,12,9-3,147,9/1,10,104,97,85,CompletedRace,8,0.5,3.25,00:01:02.9622222,62.9622222
820617,Oakman Inns Rous Stakes (Listed Race),2,Ascot,10/01/2022 13:51:00,Other,Class 1,Listed,,3yo+,None,5f,5,1005,1100,Good To Soft,Turf,1008768,Tis Marvellous,83607,Adam Kirby,5863,Clive Cox,8,t,4,2,9-6,150,13/2,7.5,108,97,85,CompletedRace,9,0.75,4,00:01:03.1288888,63.1288888
820617,Oakman Inns Rous Stakes (Listed Race),2,Ascot,10/01/2022 13:51:00,Other,Class 1,Listed,,3yo+,None,5f,5,1005,1100,Good To Soft,Turf,3499196,Ebro River,95744,Rossa Ryan,25009,Hugo Palmer,3,,2,8,9-6,150,14/1,15,107,97,84,CompletedRace,10,0.5,4.5,00:01:03.2400000,63.24
820614,Peroni Nastro Azzurro Cumberland Lodge Stakes (Group 3),2,Ascot,10/01/2022 14:25:00,Other,Class 1,(Group 3),,3yo+,None,1m4f,12,2412,2640,Good To Soft,Turf,2644667,Hamish,75506,Pat Dobbs,3415,William Haggas,6,,1,9,9-9,153,11/10F,2.1,117,119,102,CompletedRace,1,0,0,00:02:36.9400000,156.94
