FinishingPosition,Won,FractionalOdds,DecimalOdds,ResultStatus,RaceId,CourseId,CourseName,Off,HorseId,HorseName,WinProbability,Stake
2,False,5/4F,2.25,CompletedRace,926725,47,Redcar,09/15/2026 15:53:00,8309326,Supplicate,0.38297248,0
1,True,EvensF,2,CompletedRace,926564,84,Uttoxeter,09/15/2026 15:00:00,6362961,Ice Jet IRE,0.43025643,0
4,False,7/4F,2.75,CompletedRace,926561,84,Uttoxeter,09/15/2026 16:00:00,7015774,Axel Bleue,0.2935069,0
9,False,6/4F,2.5,CompletedRace,926737,104,Yarmouth,09/15/2026 14:17:00,7204966,Toastmaster IRE,0.3283213,3.67
5,False,11/4F,3.75,CompletedRace,926738,104,Yarmouth,09/15/2026 15:47:00,9613741,Javelot,0.26169991,0
1,True,5/1,6,CompletedRace,926866,1079,Kempton (AW),09/14/2026 20:00:00,9217574,Sax Avoidance IRE,0.2886444,0
2,False,11/8F,2.375,CompletedRace,926556,57,Sedgefield,09/14/2026 14:00:00,5856695,Fairlawn Skipper,0.4653902,0
2,False,100/30,4.333333333333334,CompletedRace,926557,57,Sedgefield,09/14/2026 15:00:00,7453801,Uncle Al IRE,0.2855891,4.56
5,False,9/1,10,CompletedRace,926559,57,Sedgefield,09/14/2026 15:30:00,5499901,Maggies Boy IRE,0.30556652,5
2,False,6/5F,2.2,CompletedRace,926558,57,Sedgefield,09/14/2026 16:00:00,7499327,William Yeats,0.223593,0
1,True,2/9F,1.2222222222222223,CompletedRace,926711,80,Thirsk,09/14/2026 15:21:00,9554414,Majestic Jude IRE,0.48836252,0
9,False,5/2J,3.5,CompletedRace,926714,80,Thirsk,09/14/2026 16:21:00,7020583,Hatamoto,0.2538338,0
1,True,4/7F,1.5714285714285714,CompletedRace,923717,178,Curragh,09/13/2026 14:50:00,9051032,Sun Goddess,0.39108253,0
7,False,8/1,9,CompletedRace,923719,178,Curragh,09/13/2026 16:00:00,9326708,Haffner USA,0.31275922,0.51
1,True,4/11F,1.3636363636363638,CompletedRace,921886,178,Curragh,09/13/2026 16:35:00,6102190,Scandinavia USA,0.36182955,0
1,True,5/4F,2.25,CompletedRace,926341,178,Curragh,09/13/2026 17:10:00,8188004,Thundering On GB,0.35506776,0
2,False,11/2,6.5,CompletedRace,926660,15,Doncaster,09/13/2026 15:40:00,7360547,Ernst Blofeld IRE,0.22632848,0.57
2,False,14/5,3.8,CompletedRace,928832,211,Longchamp,09/13/2026 14:50:00,9175069,How Are You IRE,0.28365988,0
1,True,9/10F,1.9,CompletedRace,928833,211,Longchamp,09/13/2026 15:25:00,7312311,Phineas GB,0.27114716,0
2,False,6/5,2.2,CompletedRace,926697,5,Bath,09/12/2026 13:55:00,9522224,Colonnade IRE,0.4980866,1.3
1,True,6/4F,2.5,CompletedRace,926685,13,Chester,09/12/2026 15:50:00,6604819,Shafdar IRE,0.25891578,1.06
1,True,9/2,5.5,CompletedRace,926689,13,Chester,09/12/2026 16:30:00,8018230,Vidmiyr IRE,0.28537855,4.59
4,False,5/1,6,CompletedRace,925065,15,Doncaster,09/12/2026 13:45:00,9526582,Gentle Hurricane IRE,0.42196977,4.18
1,True,4/5F,1.8,CompletedRace,925064,15,Doncaster,09/12/2026 14:55:00,5864565,More Thunder IRE,0.2476498,0
7,False,17/2,9.5,CompletedRace,923715,187,Leopardstown,09/12/2026 14:45:00,9456972,Shakespeare GB,0.28366017,3.56
3,False,6/5F,2.2,CompletedRace,927226,187,Leopardstown,09/12/2026 15:15:00,6671052,Purview GB,0.25759113,0
1,True,4/5F,1.8,CompletedRace,923716,187,Leopardstown,09/12/2026 15:55:00,7360560,Blue Bolt,0.37615854,0
1,True,EvensF,2,CompletedRace,926340,187,Leopardstown,09/12/2026 16:25:00,5038626,Quddwah GB,0.2258487,0
