RaceId,RaceName,CourseId,CourseName,Off,RaceType,Class,Pattern,RatingBand,AgeBand,SexRestriction,Distance,DistanceInFurlongs,DistanceInMeters,DistanceInYards,Going,Surface,HorseId,HorseName,JockeyId,JockeyName,TrainerId,TrainerName,Age,HeadGear,RaceCardNumber,StallNumber,Weight,WeightInPounds,FractionalOdds,DecimalOdds,OfficialRating,RacingPostRating,TopSpeedRating,ResultStatus,FinishingPosition,BeatenDistance,OverallBeatenDistance,RaceTime,RaceTimeInSeconds,ForecastFractionalOdds,ForecastDecimalOdds,DaysSinceLastRun,FormFigures,PrizeMoney,PrizeMoneyValue,CardOfficialRating,CardRacingPostRating,CardTopSpeedRating,OwnerId,OwnerName,SireName,SireCountry,DamName,HeadgearFirstTime,GeldingFirstTime,WindSurgery,TrainerRtf,JockeyAllowanceLbs,JockeyFirstTime,NewTrainerRacesCount,CountryOfOrigin
927934,Ripon Yorkshire's Garden Racecourse Handicap (Div II),49,Ripon,09/01/2026 16:13:00,Other,Class 4,,0-80,3yo+,None,6f,6,1206,1320,Soft,Turf,4409381,Mister Sox,96177,Sean Kirrane,10152,Tim Easterby,6,b,7,2,9-6,150,11/4F,3.75,72,,,CompletedRace,3,0.5,1.5,00:01:12.3650000,72.365,5/1,6,17,320055,"£6,281",6281,72,85,72,319119,Huggymac Racing & Ptnr,Pivotal,GB,Crowning Glory,False,False,,44,,False,,GB
927934,Ripon Yorkshire's Garden Racecourse Handicap (Div II),49,Ripon,09/01/2026 16:13:00,Other,Class 4,,0-80,3yo+,None,6f,6,1206,1320,Soft,Turf,5168469,Venture Capital,90103,Shane Gray,22525,Kevin Ryan,5,p,2,5,9-13,157,17/2,9.5,79,,,CompletedRace,4,1.5,3,00:01:12.7400000,72.74,11/1,12,31,-87089,"£6,281",6281,79,82,60,272025,Ms Leslie Clune,Washington DC,IRE,Ventura Blues,False,False,2,43,,False,,GB
927934,Ripon Yorkshire's Garden Racecourse Handicap (Div II),49,Ripon,09/01/2026 16:13:00,Other,Class 4,,0-80,3yo+,None,6f,6,1206,1320,Soft,Turf,5845665,Educating Rita,92732,Cam Hardie,18875,Philip Kirby,4,,10,3,9-2,146,13/2,7.5,68,,,CompletedRace,5,3,6,00:01:13.4900000,73.49,25/1,26,17,30-030,"£6,281",6281,68,85,74,376260,Redhotgardogs And P Kirby,Belardo,IRE,Excel And Succeed,False,False,,33,,False,,GB
927934,Ripon Yorkshire's Garden Racecourse Handicap (Div II),49,Ripon,09/01/2026 16:13:00,Other,Class 4,,0-80,3yo+,None,6f,6,1206,1320,Soft,Turf,7926370,Here Forever,90868,Connor Beasley,39387,David & Nicola Barron,3,,4,8,9-10,154,10/1,11,78,,,CompletedRace,6,0.75,6.75,00:01:13.6775000,73.6775,4/1,5,57,41-045,"£6,281",6281,78,83,66,59635,Laurence O'Kane,Havana Grey,GB,Hereawi,False,False,,43,,True,,GB
927934,Ripon Yorkshire's Garden Racecourse Handicap (Div II),49,Ripon,09/01/2026 16:13:00,Other,Class 4,,0-80,3yo+,None,6f,6,1206,1320,Soft,Turf,7739787,Goyard,82231,Daniel Tudhope,22839,David O'Meara,4,t1,3,4,9-11,155,11/1,12,77,,,CompletedRace,7,1.5,8.25,00:01:14.0525000,74.0525,15/2,8.5,21,5-3845,"£6,281",6281,77,84,72,345387,Georginio Rutter & Jinky Farms,Mehmas,IRE,Desert Mission,True,False,,47,,False,,IRE
927934,Ripon Yorkshire's Garden Racecourse Handicap (Div II),49,Ripon,09/01/2026 16:13:00,Other,Class 4,,0-80,3yo+,None,6f,6,1206,1320,Soft,Turf,3161578,Wobwobwob,99639,Mikey Sheehy,29513,Adrian Paul Keatley,8,tb,6,6,9-7,151,14/1,15,73,,,CompletedRace,8,1.25,9.5,00:01:14.3650000,74.365,25/1,26,11,-09509,"£6,281",6281,73,85,46,349410,Andy Finneran,Prince Of Lir,IRE,Ishimagic,False,False,,37,,False,,IRE
925813,attheraces.com Handicap,49,Ripon,09/01/2026 16:48:00,Other,Class 5,,0-70,3yo+,None,1m,8,1608,1760,Soft,Turf,8120517,Zermatt Star,14332,David Nolan,41117,Tony Coyle & Kaine Wood,3,p1,10,7,9-4,148,40/1,41,65,,,CompletedRace,1,0,0,00:01:41.5700000,101.57,33/1,34,26,5-0040,"£4,711",4711,65,77,47,327118,Gary Downie,Lucky Vega,IRE,Benefaction,True,False,,27,,False,,IRE
925813,attheraces.com Handicap,49,Ripon,09/01/2026 16:48:00,Other,Class 5,,0-70,3yo+,None,1m,8,1608,1760,Soft,Turf,7793623,Gunalt Wavelength,103709,Shay Farmer,38543,Michael & David Easterby,3,,12,6,8-12,140,10/1,11,64,,,CompletedRace,2,3,3,00:01:42.3200000,102.32,10/1,11,38,-21146,"£4,711",4711,64,76,71,292107,S Hollings & S Hull,Make Believe,GB,Aberlady,False,False,,47,5,True,,GB
925813,attheraces.com Handicap,49,Ripon,09/01/2026 16:48:00,Other,Class 5,,0-70,3yo+,None,1m,8,1608,1760,Soft,Turf,7493151,Milford Grange,95152,Billy Garritty,38543,Michael & David Easterby,3,,8,10,9-5,149,9/2,5.5,66,,,CompletedRace,3,2.25,5.25,00:01:42.8825000,102.8825,8/1,9,24,222684,"£4,711",4711,66,78,62,360726,J N Blackburn & T Cottier,Nando Parrado,GB,Desert Mission,False,False,,47,,False,,GB
925813,attheraces.com Handicap,49,Ripon,09/01/2026 16:48:00,Other,Class 5,,0-70,3yo+,None,1m,8,1608,1760,Soft,Turf,5093054,Catton Lady,85782,Joanna Mason,38543,Michael & David Easterby,5,,3,9,9-13,157,11/2,6.5,69,,,CompletedRace,4,0.05,5.25,00:01:42.8825000,102.8825,7/1,8,22,82-521,"£4,711",4711,69,76,53,260621,W H & Mrs J A Tinning & Mrs C Wallis,Time Test,GB,Soodad,False,False,,47,,False,,GB
