RaceId,RaceName,CourseId,CourseName,Off,RaceType,Class,Pattern,RatingBand,AgeBand,SexRestriction,Distance,DistanceInFurlongs,DistanceInMeters,DistanceInYards,Going,Surface,HorseId,HorseName,JockeyId,JockeyName,TrainerId,TrainerName,Age,HeadGear,RaceCardNumber,StallNumber,Weight,WeightInPounds,FractionalOdds,DecimalOdds,OfficialRating,RacingPostRating,TopSpeedRating,ResultStatus,FinishingPosition,BeatenDistance,OverallBeatenDistance,RaceTime,RaceTimeInSeconds,ForecastFractionalOdds,ForecastDecimalOdds,DaysSinceLastRun,FormFigures,PrizeMoney,PrizeMoneyValue,CardOfficialRating,CardRacingPostRating,CardTopSpeedRating,OwnerId,OwnerName,SireName,SireCountry,DamName,HeadgearFirstTime,GeldingFirstTime,WindSurgery,TrainerRtf,JockeyAllowanceLbs,JockeyFirstTime,NewTrainerRacesCount,CountryOfOrigin,Spotlight
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,7891671,Mr Master Mac right,103949,Thomas O'Connor right,28193,Mark Fahey right,5,,4,,11-2,178,9/1,10,117,,,CompletedRace,2,3.75,3.75,00:06:10.6500000,370.65,14/1,15,49,313-17,"€10,308",10308,117,122,103,360483,MasterMac Partnership,Blue Bresil,FR,Maria's Oscar,False,False,,25,7,False,,IRE,"Bumper winner; off mark at second attempt over hurdles in 2m3f Downpatrick maiden in May (good), following month tame enough effort in handicap over same C&D; back from a short break and tries a new trip."
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,5368112,Justatan right,100370,Alan O'Sullivan right,30971,Emmet Mullins right,7,tp1,20,,10-5,165,5/1,6,99,,,CompletedRace,3,1.5,5.25,00:06:10.9500000,370.95,10/1,11,21,5309-3,"€10,308",10308,99,117,85,18220,Mrs A F Mee,Estejo,GER,Eza,True,False,,42,5,True,,FR,"Unbeaten in two point-to-points for Michael Goff; mild promise in maiden hurdles, most recently stayed on late into modest third (to Wild Mandate) in 3m2f Sligo handicap last month (good); cheekpieces now added and could be dangerous off light weight under a more positive ride."
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,7046539,Adaliz right,96391,Darragh O'Keeffe right,1249,Henry De Bromhead right,6,b1,18,,10-6,166,22/1,23,100,,,CompletedRace,4,0.5,5.75,00:06:11.0500000,371.05,16/1,17,19,310-90,"€10,308",10308,100,121,110,275327,Syndicates.Racing,Waldpark,GER,Aspidistra,True,False,,59,,False,,GER,"Won twice last year, including over this trip at Tipperary off 95; has run just three times since, tame enough Downpatrick effort on latest; blinkers now replace cheekpieces."
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,6509771,Sallap right,103298,Michael Kenneally right,22421,S Curling right,6,,19,,10-1,161,8/1,9,100,,,CompletedRace,5,4.75,10.5,00:06:12,372,15/2,8.5,31,1F-011,"€10,308",10308,100,121,71,88983,W G Cleary,Court Cave,IRE,Emmy Lou,False,False,,25,5,False,,IRE,"Progressive mare has won three of last four completed outings, including last two in 2m6f handicaps at Clonmel and when defying 7lb rise at Limerick last month in ready fashion to win going away; up a further 9lb so more needed but quite possible."
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,4177632,Stormbreaker right,102840,Paddy Hanlon right,18845,John Joseph Hanlon right,7,,9,,11-2,178,100/1,101,115,,,CompletedRace,6,7.5,18,00:06:13.5000000,373.5,25/1,26,21,2000/P,"€10,308",10308,115,126,,325850,Bronsan Racing,Proconsul,GB,Shadows' Whispers,False,False,,35,5,True,2,GB,Maiden hurdle winner for Willie Mullins ran well in some handicaps; pulled up on yard debut after some 14 months' absence at Sligo recently; probably best watched for now.
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,58958802,Fou De Toi right,86502,Paul Townend right,1475,W P Mullins right,5,,7,,11-7,183,8/1,9,115,,,CompletedRace,7,9.5,27.5,00:06:15.4000000,375.4,13/2,7.5,30,/43P-2,"€10,308",10308,115,116,38,18484,Mrs J Donnelly,Motivator,GB,Finella,False,False,,67,,False,,FR,"Lightly-raced 5yo ran once in France and still looks a work in progress after four starts for champion trainer, tight 2m4f in Wexford maiden last time may not have been ideal; bit to prove but improvement quite likely back at 3m."
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,7276562,Elusive Ogie right,93137,Simon Torrens right,26124,Eoin Christopher McCarthy right,5,,11,,11-5,181,18/1,19,113,,,CompletedRace,8,7.5,35,00:06:16.9000000,376.9,9/1,10,16,59-U05,"€10,308",10308,113,128,114,286494,Denis Enright,Elusive Pimpernel,USA,Newtown Dancer,False,False,,43,,True,,IRE,"Limerick maiden winner last year and finished good third in the Lartigue at Listowel; easily best run since and just beginning his challenge (going well) when unseating two out at Killarney in May, most recently would have gone closer but for pecking two out at same venue last month over 2m7f; remains of interest; also due to run here yeasterday (3.12)."
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,6265700,Reiki Revolution right,88732,Keith Donoghue right,17836,Gavin Cromwell right,6,ht,8,,11-7,183,11/1,12,115,,,CompletedRace,9,0.75,35.75,00:06:17.0500000,377.05,12/1,13,33,P4-UU4,"€10,308",10308,115,128,,165543,James F Dunne,Wings Of Eagles,FR,Presenting Gems,False,False,,29,,False,,IRE,"Bumper and 2m4f maiden (Punchestown) hurdle winner; unseated two out when shaping with promise on first two chase efforts, most recently completed but again let down by jumping at Wexford; reverts to hurdles here, placings over this trip in maidens."
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,4952190,Beggars Rock right,101851,Conor Stone-Walsh right,38240,Ian Patrick Donoghue right,7,tv,16,,10-8,168,28/1,29,102,,,CompletedRace,10,0.3,36,00:06:17.1000000,377.1,14/1,15,78,3P63-6,"€10,308",10308,102,123,63,355637,Beggars Cant Be Choosers Syndicate,Soldier Of Fortune,IRE,Try Trix,False,False,,22,,True,,IRE,"Both wins have been at around 2m5f, including Kilbeggan beginners' chase last year; just okay run on latest in Wexford handicap hurdle over this trip in May; stamina remains a possible issue."
925575,Kenny Galway Peugeot Handicap Hurdle,183,Galway (IRE),08/02/2026 14:20:00,Hurdle,,,,4yo+,None,3m½f,24.5,4926,5390,Good,Turf,5764626,High Court Cave right,99137,Mr O McGill right,17764,Noel C Kelly right,6,p,3,,11-4,180,100/30F,4.333333333333334,117,,,CompletedRace,11,28,64,00:06:22.7000000,382.7,16/1,17,35,217-65,"€10,308",10308,117,128,94,199115,Victor McCrea,Court Cave,IRE,Bury The Evidence,False,False,,38,5,False,,IRE,Runner-up in 2m6f handicap at last year's festival before winning 2m2f maiden at Downpatrick (yielding); has struggled a bit since in handicaps and others look better handicapped right now.
