RaceId,RaceName,CourseId,CourseName,RaceType,Class,Pattern,RatingBand,AgeBand,SexRestriction,Distance,DistanceInFurlongs,DistanceInMeters,DistanceInYards,Going,Surface,HorseId,HorseName,JockeyId,JockeyName,TrainerId,TrainerName,Age,HeadGear,RaceCardNumber,StallNumber,Weight,WeightInPounds,FractionalOdds,DecimalOdds,OfficialRating,RacingPostRating,TopSpeedRating
813800,Stay At Hampton By Hilton Almada Mile Handicap (For The Watson Memorial Cup),22,Hamilton,Other,Class 2,,0-100,3yo+,None,1m½f,8.5,1709,1870,Good To Firm,Turf,1909692,Hortzadar,82231,Daniel Tudhope,22839,David O'Meara,7,,4,3,10-1,161,SP,,93,99,74
813800,Stay At Hampton By Hilton Almada Mile Handicap (For The Watson Memorial Cup),22,Hamilton,Other,Class 2,,0-100,3yo+,None,1m½f,8.5,1709,1870,Good To Firm,Turf,2334601,Ghaly,91867,Kevin Stott,9546,Saeed bin Suroor,6,,5,1,9-11,155,SP,,89,100,
813800,Stay At Hampton By Hilton Almada Mile Handicap (For The Watson Memorial Cup),22,Hamilton,Other,Class 2,,0-100,3yo+,None,1m½f,8.5,1709,1870,Good To Firm,Turf,3097917,Summa Peto,94225,Callum Rodriguez,24548,Keith Dalgleish,4,,6,2,9-10,154,SP,,88,97,60
813800,Stay At Hampton By Hilton Almada Mile Handicap (For The Watson Memorial Cup),22,Hamilton,Other,Class 2,,0-100,3yo+,None,1m½f,8.5,1709,1870,Good To Firm,Turf,3583183,Austrian Theory,2572,Joe Fanning,39124,Charlie & Mark Johnston,3,,8,10,9-6,150,SP,,94,98,57
813800,Stay At Hampton By Hilton Almada Mile Handicap (For The Watson Memorial Cup),22,Hamilton,Other,Class 2,,0-100,3yo+,None,1m½f,8.5,1709,1870,Good To Firm,Turf,2839671,Bringitonboris,87290,Sam James,24548,Keith Dalgleish,5,v,9,9,8-11,139,SP,,75,95,81
813800,Stay At Hampton By Hilton Almada Mile Handicap (For The Watson Memorial Cup),22,Hamilton,Other,Class 2,,0-100,3yo+,None,1m½f,8.5,1709,1870,Good To Firm,Turf,4082519,Sip And Smile,85793,William Buick,36211,George Boughey,3,p,10,5,8-7,135,SP,,81,98,80
813801,hamilton-park.co.uk Handicap,22,Hamilton,Other,Class 4,,0-85,3yo+,None,1m4f,12,2412,2640,Good To Firm,Turf,3113534,Heights Of Abraham,94225,Callum Rodriguez,24548,Keith Dalgleish,4,,1,1,10-4,164,SP,,87,89,71
813801,hamilton-park.co.uk Handicap,22,Hamilton,Other,Class 4,,0-85,3yo+,None,1m4f,12,2412,2640,Good To Firm,Turf,3193518,Ravenscraig Castle,81166,Andrew Mullen,21516,Iain Jardine,4,,2,6,10-3,163,SP,,86,90,61
813801,hamilton-park.co.uk Handicap,22,Hamilton,Other,Class 4,,0-85,3yo+,None,1m4f,12,2412,2640,Good To Firm,Turf,4057131,Charles St,85793,William Buick,36211,George Boughey,3,p,3,3,8-13,141,SP,,82,90,81
813801,hamilton-park.co.uk Handicap,22,Hamilton,Other,Class 4,,0-85,3yo+,None,1m4f,12,2412,2640,Good To Firm,Turf,3826133,Two Auld Pals,92732,Cam Hardie,7795,Jim Goldie,4,,4,5,8-13,141,SP,,68,87,77
813801,hamilton-park.co.uk Handicap,22,Hamilton,Other,Class 4,,0-85,3yo+,None,1m4f,12,2412,2640,Good To Firm,Turf,3569349,Madame Ambassador,90243,Jason Hart,39124,Charlie & Mark Johnston,3,p,6,4,8-8,136,SP,,77,89,84
813802,#Cleanstay At Hampton By Hilton Handicap,22,Hamilton,Other,Class 4,,0-80,3yo+,None,6f,6,1206,1320,Good To Firm,Turf,3173645,Ballyconneely Bay,76957,Paul Hanagan,12225,Julie Camacho,4,,1,2,10-2,162,SP,,75,80,74
813802,#Cleanstay At Hampton By Hilton Handicap,22,Hamilton,Other,Class 4,,0-80,3yo+,None,6f,6,1206,1320,Good To Firm,Turf,1953164,Kapono,100783,Jonny Peate,32385,Roger Fell,6,p,2,10,9-11,155,SP,,70,82,57
813802,#Cleanstay At Hampton By Hilton Handicap,22,Hamilton,Other,Class 4,,0-80,3yo+,None,6f,6,1206,1320,Good To Firm,Turf,1483342,Global Humor,79371,Paul Mulrennan,7795,Jim Goldie,7,,4,4,9-10,154,SP,,69,78,34
813802,#Cleanstay At Hampton By Hilton Handicap,22,Hamilton,Other,Class 4,,0-80,3yo+,None,6f,6,1206,1320,Good To Firm,Turf,2050471,Jordan Electrics,92565,Rowan Scott,38714,Ewan Whillans,6,,5,6,9-9,153,SP,,68,83,72
813802,#Cleanstay At Hampton By Hilton Handicap,22,Hamilton,Other,Class 4,,0-80,3yo+,None,6f,6,1206,1320,Good To Firm,Turf,3577227,Lady Lade,94225,Callum Rodriguez,24548,Keith Dalgleish,3,,6,3,9-8,152,SP,,74,83,66
813802,#Cleanstay At Hampton By Hilton Handicap,22,Hamilton,Other,Class 4,,0-80,3yo+,None,6f,6,1206,1320,Good To Firm,Turf,2713041,Rose Bandit,92961,Jamie Gormley,21516,Iain Jardine,5,p,8,5,9-6,150,SP,,65,79,66
813802,#Cleanstay At Hampton By Hilton Handicap,22,Hamilton,Other,Class 4,,0-80,3yo+,None,6f,6,1206,1320,Good To Firm,Turf,3092685,Iris Dancer,90243,Jason Hart,22401,Tristan Davidson,4,p,9,9,9-6,150,SP,,65,80,69
813802,#Cleanstay At Hampton By Hilton Handicap,22,Hamilton,Other,Class 4,,0-80,3yo+,None,6f,6,1206,1320,Good To Firm,Turf,3900241,Judy's Park,85793,William Buick,36211,George Boughey,3,p,10,8,9-1,145,SP,,67,79,61
813806,Every Race Live On Racing TV Handicap,22,Hamilton,Other,Class 6,,0-55,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,3116590,Astapor,95237,Harry Russell,29551,John David Riches,4,,1,4,9-11,155,SP,,57,65,57
813806,Every Race Live On Racing TV Handicap,22,Hamilton,Other,Class 6,,0-55,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,3057771,Brazen Belle,10590,Graham Lee,15385,Colin Teague,4,,2,9,9-10,154,SP,,56,69,58
