FoldDate,Algorithm,RaceId,HorseId,CourseName,Surface,Going,RaceType,DistanceInMeters,FinishingPosition,DecimalOdds,PredictedScore,WinProbability,FieldSize,RaceClass
2026-05-08,AbstainWrapperAlgorithm,917479,4965694,Market Rasen,Turf,Good,SteepleChase,4323,4,2.375,,0.21748137,5,Class 5
2026-05-08,AbstainWrapperAlgorithm,917479,3273550,Market Rasen,Turf,Good,SteepleChase,4323,5,12.0,,0.14434804,5,Class 5
2026-05-08,AbstainWrapperAlgorithm,917476,4705219,Market Rasen,Turf,Good,SteepleChase,4825,1,3.75,,0.32094365,4,Class 3
2026-05-08,AbstainWrapperAlgorithm,917476,5867556,Market Rasen,Turf,Good,SteepleChase,4825,2,5.5,,0.16626212,4,Class 3
2026-05-08,AbstainWrapperAlgorithm,917476,2702900,Market Rasen,Turf,Good,SteepleChase,4825,3,9.0,,0.16069336,4,Class 3
2026-05-08,AbstainWrapperAlgorithm,917476,2418442,Market Rasen,Turf,Good,SteepleChase,4825,4,26.0,,0.2790185,4,Class 3
2026-05-08,AbstainWrapperAlgorithm,917477,5784868,Market Rasen,Turf,Good,Hurdle,4624,1,5.5,,0.17281088,7,Class 3
2026-05-08,AbstainWrapperAlgorithm,917477,5884272,Market Rasen,Turf,Good,Hurdle,4624,2,2.875,,0.31419662,7,Class 3
2026-05-08,AbstainWrapperAlgorithm,917477,4189560,Market Rasen,Turf,Good,Hurdle,4624,3,19.0,,0.15646167,7,Class 3
2026-05-08,AbstainWrapperAlgorithm,917477,4980025,Market Rasen,Turf,Good,Hurdle,4624,4,8.5,,0.19401202,7,Class 3
2026-05-08,AbstainWrapperAlgorithm,917477,5408668,Market Rasen,Turf,Good,Hurdle,4624,5,23.0,,0.079969645,7,Class 3
2026-05-08,AbstainWrapperAlgorithm,917477,58950447,Market Rasen,Turf,Good,Hurdle,4624,6,2.875,,0.19162723,7,Class 3
2026-05-08,AbstainWrapperAlgorithm,917477,4175157,Market Rasen,Turf,Good,Hurdle,4624,7,13.0,,0.19157815,7,Class 3
2026-05-08,AbstainWrapperAlgorithm,917481,4440454,Market Rasen,Turf,Good,Hurdle,4122,1,5.0,,0.13655306,7,Class 5
2026-05-08,AbstainWrapperAlgorithm,917481,8344593,Market Rasen,Turf,Good,Hurdle,4122,2,15.0,,0.05994713,7,Class 5
2026-05-08,AbstainWrapperAlgorithm,917481,4611206,Market Rasen,Turf,Good,Hurdle,4122,3,4.0,,0.055195555,7,Class 5
2026-05-08,AbstainWrapperAlgorithm,917481,5412838,Market Rasen,Turf,Good,Hurdle,4122,4,23.0,,0.2467422,7,Class 5
2026-05-08,AbstainWrapperAlgorithm,917481,5109640,Market Rasen,Turf,Good,Hurdle,4122,5,29.0,,0.06421484,7,Class 5
2026-05-08,AbstainWrapperAlgorithm,917481,7592564,Market Rasen,Turf,Good,Hurdle,4122,6,3.25,,0.24730234,7,Class 5
2026-05-08,AbstainWrapperAlgorithm,917481,4299550,Market Rasen,Turf,Good,Hurdle,4122,7,4.0,,0.1281409,7,Class 5
2026-05-08,AbstainWrapperAlgorithm,917844,7329761,Wolverhampton (AW),AllWeather,Standard,Other,1407,1,4.333333333333334,,0.14090069,4,Class 5
2026-05-08,AbstainWrapperAlgorithm,917844,7324714,Wolverhampton (AW),AllWeather,Standard,Other,1407,2,9.0,,0.056414273,4,Class 5
2026-05-08,AbstainWrapperAlgorithm,917844,7653227,Wolverhampton (AW),AllWeather,Standard,Other,1407,3,6.0,,0.21751511,4,Class 5
2026-05-08,AbstainWrapperAlgorithm,917844,8414344,Wolverhampton (AW),AllWeather,Standard,Other,1407,4,1.7272727272727273,,0.34613,4,Class 5
2026-05-08,AbstainWrapperGapAlgorithm,917619,9046234,Chester,Turf,Good,Other,2513,1,3.25,,0.3141906,7,Class 2
2026-05-08,AbstainWrapperGapAlgorithm,917619,8026987,Chester,Turf,Good,Other,2513,2,1.9090909090909087,,0.3627648,7,Class 2
2026-05-08,AbstainWrapperGapAlgorithm,917619,8330896,Chester,Turf,Good,Other,2513,3,5.0,,0.29616284,7,Class 2
2026-05-08,AbstainWrapperGapAlgorithm,917619,9106001,Chester,Turf,Good,Other,2513,4,29.0,,0.084739804,7,Class 2
2026-05-08,AbstainWrapperGapAlgorithm,917619,8881409,Chester,Turf,Good,Other,2513,5,21.0,,0.18812929,7,Class 2
2026-05-08,AbstainWrapperGapAlgorithm,917619,8551794,Chester,Turf,Good,Other,2513,6,101.0,,0.05767992,7,Class 2
2026-05-08,AbstainWrapperGapAlgorithm,917619,8688349,Chester,Turf,Good,Other,2513,7,101.0,,0.13474269,7,Class 2
2026-05-08,AbstainWrapperGapAlgorithm,917477,5784868,Market Rasen,Turf,Good,Hurdle,4624,1,5.5,,0.17281088,7,Class 3
2026-05-08,AbstainWrapperGapAlgorithm,917477,5884272,Market Rasen,Turf,Good,Hurdle,4624,2,2.875,,0.31419662,7,Class 3
2026-05-08,AbstainWrapperGapAlgorithm,917477,4189560,Market Rasen,Turf,Good,Hurdle,4624,3,19.0,,0.15646167,7,Class 3
2026-05-08,AbstainWrapperGapAlgorithm,917477,4980025,Market Rasen,Turf,Good,Hurdle,4624,4,8.5,,0.19401202,7,Class 3
2026-05-08,AbstainWrapperGapAlgorithm,917477,5408668,Market Rasen,Turf,Good,Hurdle,4624,5,23.0,,0.079969645,7,Class 3
2026-05-08,AbstainWrapperGapAlgorithm,917477,58950447,Market Rasen,Turf,Good,Hurdle,4624,6,2.875,,0.19162723,7,Class 3
2026-05-08,AbstainWrapperGapAlgorithm,917477,4175157,Market Rasen,Turf,Good,Hurdle,4624,7,13.0,,0.19157815,7,Class 3
2026-05-08,AbstainWrapperGapAlgorithm,917844,7329761,Wolverhampton (AW),AllWeather,Standard,Other,1407,1,4.333333333333334,,0.14090069,4,Class 5
2026-05-08,AbstainWrapperGapAlgorithm,917844,7324714,Wolverhampton (AW),AllWeather,Standard,Other,1407,2,9.0,,0.056414273,4,Class 5
2026-05-08,AbstainWrapperGapAlgorithm,917844,7653227,Wolverhampton (AW),AllWeather,Standard,Other,1407,3,6.0,,0.21751511,4,Class 5
2026-05-08,AbstainWrapperGapAlgorithm,917844,8414344,Wolverhampton (AW),AllWeather,Standard,Other,1407,4,1.7272727272727273,,0.34613,4,Class 5
2026-05-07,AbstainWrapperAlgorithm,917470,7258540,Huntingdon,Turf,Good,Hurdle,4122,1,1.8,,0.43930602,2,Class 4
2026-05-07,AbstainWrapperAlgorithm,917470,6640436,Huntingdon,Turf,Good,Hurdle,4122,2,2.0,,0.6592319,2,Class 4
2026-05-07,AbstainWrapperAlgorithm,917471,3432682,Huntingdon,Turf,Good,SteepleChase,4021,1,7.5,,0.17507875,4,Class 4
2026-05-07,AbstainWrapperAlgorithm,917471,4739608,Huntingdon,Turf,Good,SteepleChase,4021,2,2.25,,0.3326114,4,Class 4
2026-05-07,AbstainWrapperAlgorithm,917471,5845777,Huntingdon,Turf,Good,SteepleChase,4021,3,6.0,,0.24725813,4,Class 4
2026-05-07,AbstainWrapperAlgorithm,917471,3536948,Huntingdon,Turf,Good,SteepleChase,4021,4,4.333333333333334,,0.3151842,4,Class 4
2026-05-07,AbstainWrapperAlgorithm,917473,7108265,Huntingdon,Turf,Good,SteepleChase,4725,1,4.5,,0.29389587,3,Class 4
2026-05-07,AbstainWrapperAlgorithm,917473,4979958,Huntingdon,Turf,Good,SteepleChase,4725,2,8.0,,0.22688976,3,Class 4
2026-05-07,AbstainWrapperAlgorithm,917473,4272408,Huntingdon,Turf,Good,SteepleChase,4725,3,5.0,,0.3243563,3,Class 4
2026-05-07,AbstainWrapperAlgorithm,917474,3345365,Huntingdon,Turf,Good,Hurdle,5027,1,5.5,,0.24749987,4,Class 5
2026-05-07,AbstainWrapperAlgorithm,917474,5845506,Huntingdon,Turf,Good,Hurdle,5027,2,3.75,,0.2148806,4,Class 5
2026-05-07,AbstainWrapperAlgorithm,917474,3974508,Huntingdon,Turf,Good,Hurdle,5027,3,4.0,,0.22828817,4,Class 5
2026-05-07,AbstainWrapperAlgorithm,917474,6702005,Huntingdon,Turf,Good,Hurdle,5027,4,3.75,,0.2928261,4,Class 5
2026-05-07,AbstainWrapperAlgorithm,917631,7609870,Redcar,Turf,Good,Other,2815,1,3.5,,0.17631061,6,Class 5
2026-05-07,AbstainWrapperAlgorithm,917631,6287980,Redcar,Turf,Good,Other,2815,2,4.5,,0.22298412,6,Class 5
2026-05-07,AbstainWrapperAlgorithm,917631,2094351,Redcar,Turf,Good,Other,2815,3,9.5,,0.056003563,6,Class 5
2026-05-07,AbstainWrapperAlgorithm,917631,3735132,Redcar,Turf,Good,Other,2815,4,4.0,,0.09467394,6,Class 5
2026-05-07,AbstainWrapperAlgorithm,917631,6032408,Redcar,Turf,Good,Other,2815,5,151.0,,0.008689699,6,Class 5
2026-05-07,AbstainWrapperAlgorithm,917631,8313793,Redcar,Turf,Good,Other,2815,6,4.0,,0.20649116,6,Class 5
2026-05-07,AbstainWrapperAlgorithm,917632,6528826,Redcar,Turf,Good,Other,1407,1,3.25,,0.27737975,8,Class 5
2026-05-07,AbstainWrapperAlgorithm,917632,6759106,Redcar,Turf,Good,Other,1407,2,7.0,,0.10320283,8,Class 5
2026-05-07,AbstainWrapperAlgorithm,917632,5531364,Redcar,Turf,Good,Other,1407,3,7.0,,0.09722912,8,Class 5
2026-05-07,AbstainWrapperAlgorithm,917632,5708644,Redcar,Turf,Good,Other,1407,4,10.0,,0.22305818,8,Class 5
2026-05-07,AbstainWrapperAlgorithm,917632,6482622,Redcar,Turf,Good,Other,1407,5,41.0,,0.05869108,8,Class 5
2026-05-07,AbstainWrapperAlgorithm,917632,6626285,Redcar,Turf,Good,Other,1407,6,6.5,,0.14782546,8,Class 5
2026-05-07,AbstainWrapperAlgorithm,917632,4303399,Redcar,Turf,Good,Other,1407,7,5.0,,0.25450152,8,Class 5
2026-05-07,AbstainWrapperAlgorithm,917632,3607411,Redcar,Turf,Good,Other,1407,8,11.0,,0.09555662,8,Class 5
2026-05-07,AbstainWrapperAlgorithm,919593,4808610,Wexford (IRE),Turf,Good To Yielding,SteepleChase,4624,1,8.5,,0.06230567,6,
2026-05-07,AbstainWrapperAlgorithm,919593,3984129,Wexford (IRE),Turf,Good To Yielding,SteepleChase,4624,2,1.8,,0.10854697,6,
2026-05-07,AbstainWrapperAlgorithm,919593,5708524,Wexford (IRE),Turf,Good To Yielding,SteepleChase,4624,3,7.0,,0.15675388,6,
2026-05-07,AbstainWrapperAlgorithm,919593,5864606,Wexford (IRE),Turf,Good To Yielding,SteepleChase,4624,4,6.0,,0.23645939,6,
2026-05-07,AbstainWrapperAlgorithm,919593,5764648,Wexford (IRE),Turf,Good To Yielding,SteepleChase,4624,5,17.0,,0.15262298,6,
